Unnamed: 0.1,Unnamed: 0,title,published,source,summary,sentiment_label,sentiment_score,relevance_score,Price Change
191,191,Wedbush's Dan Ives Says WWDC 2024 Is 'Most Important Event For Apple In Over A Decade': What To Expect - Apple  ( NASDAQ:AAPL ) ,20240604T205222,Benzinga,"Wedbush analyst Dan Ives believes next week's Worldwide Developers Conference ( WWDC ) will be a ""pivotal moment"" for Apple, Inc. AAPL as he sees it ushering in the company's next growth cycle, driven by artificial intelligence ( AI ) . Apple To Introduce AI: Apple's WWDC 2024 is set to ...",Bullish,0.504132,0.893548,0.0024481065119004086
187,187,Nvidia's AI Muscle Propels Stock Past Apple To No. 2 Spot On SPY Holdings: What Investors Need To Know - NVIDIA  ( NASDAQ:NVDA ) ,20240605T103943,Benzinga,"Nvidia, Inc.'s NVDA lead in artificial intelligence has translated to strong fundamentals, giving a major boost to its stock price. While still trailing Apple, Inc. AAPL in market cap, Nvidia emerged on Tuesday as the second-largest holding in the SPDR S&P 500 ETF Trust SPY, a key exchange-traded ...",Bullish,0.472945,0.678102,0.0038643883957133716
181,181,Will Apple Give Siri A Brain Transplant At WWDC?,20240606T161900,Investors Business Daily,Apple Stock Investors Have Great Expectations For WWDC 2024 Investor's Business Daily ...,Somewhat-Bullish,0.235656,0.758549,-0.002679634041399201
178,178,Apple  ( AAPL )  Rises As Market Takes a Dip: Key Facts,20240607T214510,Zacks Commentary,"In the closing of the recent trading day, Apple (AAPL) stood at $196.89, denoting a +1.24% change from the preceding trading day.",Bullish,0.389172,0.653175,0.008341461015168087
177,177,"Apple's AI Strategy Could Trigger Three-Year iPhone Sales Boost, Says Top Tech Bull: 'Don't Overthink It' - NVIDIA  ( NASDAQ:NVDA ) ",20240608T035721,Benzinga,"Gene Munster, managing partner at Deepwater Asset Management, has indicated that Apple Inc.'s AAPL AI strategy could trigger a three-year iPhone upgrade cycle, potentially leading to a surge in the company's sales.",Bullish,0.633822,0.751437,
175,175,"Apple's Warranty Updates, iPhone Support Duration, And More: This Week In Apple News - Apple  ( NASDAQ:AAPL ) ",20240609T110010,Benzinga,"The past week has been a rollercoaster for Apple Inc. AAPL, with significant updates and revelations making headlines. From changes in warranty policies to the revelation of the iPhone support period, Apple has been in the spotlight. Here's a quick round-up of the top stories.",Neutral,0.128931,0.803061,
168,168,"Ahead Of WWDC, Apple Analyst Foresees AI Integration Boosting Stock Value by $30-$40 Per Share: 'New AI Era For Cupertino Begins' - Apple  ( NASDAQ:AAPL ) ",20240610T135744,Benzinga,"Ahead of Apple, Inc.'s AAPL annual World Wide Developers Conference that kickstarts on Monday, an analyst at Wedbush said a ""new AI era for Cupertino begins"" at the conference.",Somewhat-Bullish,0.263217,0.939207,-0.013597732694588957
157,157,"Apple Intelligence To Be Limited To iPhone, iPad and Macs And Won't Make Its Way To Watch, TV And Vision Pro - Apple  ( NASDAQ:AAPL ) ",20240611T021741,Benzinga,"On Monday, Apple Inc. AAPL announced its new artificial intelligence initiative, Apple Intelligence, at the WWDC 2024. However, this new AI push won't be available on all of its platforms at launch. What Happened: During the WWDC Keynote, Apple unveiled the workings of Apple Intelligence on iOS ...",Bullish,0.469559,0.9373,0.024041821691360488
113,113,Apple Stock Hits Record High As AI-Driven iPhone Upgrade Cycle Forecast,20240612T160200,Investors Business Daily,Apple Stock Catalyst: AI-Driven iPhone Upgrades Investor's Business Daily ...,Bullish,0.565217,0.868004,0.011638464356210399
105,105,Apple Just Changed Everything  ( in AI ) ,20240613T083900,Motley Fool,Apple's big move wasn't getting into AI. it's where the inference is being done.,Somewhat-Bearish,-0.179372,0.963653,0.0022436142367755086
92,92,ETFs in Focus as Apple Reclaims Most Valuable Title,20240614T120000,Zacks Commentary,Apple's resurgence as the world's most valuable company has been aided by its strategic initiatives in AI and investors' faith in it.,Bullish,0.538571,0.835133,-0.004756546195002591
89,89,Is Apple Stock a Buy Now?,20240615T090000,Motley Fool,The iPhone giant just announced a slew of AI-enabled upgrades. But what does it mean for the stock?,Bullish,0.403845,0.838776,
82,82,"Apple's AI Privacy Measures, Elon Musk's Robot Prediction, And More: This Week In Artificial Intelligence - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",20240616T123016,Benzinga,The week was buzzing with tech news as Apple Inc. AAPL unveiled new AI privacy measures and Tesla Inc. TSLA CEO Elon Musk made predictions about the future of humanoid robots. Here's a quick round-up of the top stories.,Somewhat-Bullish,0.322483,0.795061,
