Date,Change,title,full_text
2000-01-05,Increase,Apple and EarthLink Form Partnership to Deliver Best ISP Service to Macintosh Users,"Apple to Invest $200 Million in EarthLink
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-05,Increase,Third-Party Developer Announcements at Macworld,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-05,Increase,Apple Introduces AppleWorks 6,"Delivers More than 100 New Features and a Stunning New User Interface
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-05,Increase,Industry Leaders Rally to Support Mac OS X,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-05,Increase,Apple Unveils Mac OS X and Internet Strategy at Macworld Expo,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-05,Increase,Apple Unveils Mac OS X,"Next Generation OS Features New “Aqua” User Interface
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-05,Increase,Apple Unveils Internet Strategy,"iTools - A Revolutionary New Category of Internet ServicesKidSafe - Finally a Way to Protect Our Kids on the Internet
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-14,Increase,Media Alert,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-19,Increase,Apple Board of Directors Announces CEO Compensation,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-19,Increase,Apple Reports First Quarter Profit of $183 Million,"Revenues up 37 percent; Units up 46 percentProfits Before Non-recurring Items up 45 percent
Consolidated Statements
View PDF
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-20,Decrease,Apple Highlights Independent Filmmakers on QuickTime TV,"Five New Film and Music Channels Added to High-Performance Streaming Network
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-24,Decrease,Apple's QuickTime TV Network Scores Super Bowl Touchdown,"FOX Sports Personalities to Host Super Bowl Webcasts
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-24,Decrease,Apple Wins Imatec ColorSync Suit,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-01-25,Increase,PC Data Ranks iBook Number One Portable in U.S.,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-02-16,Decrease,Mac OS X to Ship with Highest-Quality Japanese Fonts and Expanded Character Set,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-02-16,Decrease,Apple Ups Performance of Power Mac G4 Line,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-02-16,Decrease,"Apple Unveils New iBook, PowerBook and Power Mac G4 Lines","New iBook Special Edition in Stunning Graphite Leads New iBook LineupMac OS X to Include Highest-Quality Japanese Fonts
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-02-16,Decrease,Apple Unveils New PowerBook: The Fastest Portable Ever,"Faster Processor, Built-in FireWire and Longer Battery Life
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-02-16,Decrease,Apple Enhances iBook Line,"New iBook Special Edition in Stunning Graphite
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-02-29,Increase,Apple Introduces New Apple Learning Solutions for Teachers and Students,"Integrated Set of Education Applications, Curriculum and Tools Designed to Meet State and Federal Standards
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-03-01,Increase,Apple Delivers WebObjects 4.5,"Leading Application Server Features Faster Web Development with New WebObjects Builder Interface and Direct to Java Client Technology
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-03-08,Decrease,Apple Secures Worldwide Injunctions Against Daewoo and eMachines,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-03-09,Increase,IDC Confirms Apple Still Tops in Education,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
